year,problem,paper,pages,section_sequence,model_chain,model_chain_status,writing_feature,original_position,unconfirmed_pages,摘要,问题分析,模型求解,结果解释,模型检验,灵敏度分析,模型评价,参考文献,附录
2024,A,A242,58,摘要 -> 模型求解 -> 问题重述 -> 问题分析 -> 模型假设 -> 符号说明 -> 模型建立 -> 结果分析 -> 模型评价 -> 参考文献 -> 附录,微分方程、粒子群、0-1,已定位,连接词=首先:12、其次:1、进一步:5、表明:1、说明:3、验证:16、相比:1、为了:3、从而:1、因此:14；页行中位数=38.5；段落候选中位数=3.0；图表候选=26；公式行候选=606；标题候选=90,2024/A242.pdf#page=1:line=1,49,p.1,p.3,p.1,p.7,未检出（严格 OCR 阈值下不补字）,未检出（严格 OCR 阈值下不补字）,p.29,p.30,p.31
2024,B,B159,37,摘要 -> 结果分析 -> 灵敏度分析 -> 问题重述 -> 问题分析 -> 模型假设 -> 符号说明 -> 模型建立 -> 模型求解 -> 模型评价 -> 参考文献 -> 附录,未检出（严格 OCR 阈值下不补字）,未检出（严格 OCR 阈值下不补字）,连接词=首先:1、进一步:6、说明:4、验证:1、为了:2、因此:2；页行中位数=39；段落候选中位数=6；图表候选=9；公式行候选=208；标题候选=142,2024/B159.pdf#page=1:line=1,30,p.1,p.3,p.17,p.1,未检出（严格 OCR 阈值下不补字）,p.1,p.22,p.23,p.24
2024,B,B195,70,摘要 -> 模型求解 -> 问题重述 -> 问题分析 -> 模型假设 -> 符号说明 -> 模型建立 -> 结果分析 -> 改进方案 -> 模型评价 -> 参考文献,模拟退火、多目标、ODE、RNN、VAR,已定位,连接词=首先:7、进一步:2、由此:4、表明:4、说明:1、为了:1、从而:3、因此:1；页行中位数=51.0；段落候选中位数=3.0；图表候选=9；公式行候选=1130；标题候选=66,2024/B195.pdf#page=1:line=1,62,p.1,p.3,p.1,p.15,未检出（严格 OCR 阈值下不补字）,未检出（严格 OCR 阈值下不补字）,p.21,p.22,未检出（严格 OCR 阈值下不补字）
2024,B,B196,28,摘要 -> 问题重述 -> 问题分析 -> 模型假设 -> 符号说明 -> 模型建立 -> 结果分析 -> 模型评价 -> 参考文献 -> 附录 -> 模型求解,蒙特卡洛、蚁群、遗传算法,已定位,连接词=首先:5、进一步:4、由此:1、可知:7、表明:2、说明:3、验证:2、为了:10、从而:11、因此:5；页行中位数=25.5；段落候选中位数=1.0；图表候选=21；公式行候选=64；标题候选=44,2024/B196.pdf#page=1:line=1,27,p.1,p.2,p.26,p.11,未检出（严格 OCR 阈值下不补字）,未检出（严格 OCR 阈值下不补字）,p.23,p.24,p.25
2024,C,C038,61,摘要 -> 灵敏度分析 -> 问题重述 -> 模型建立 -> 模型假设 -> 符号说明 -> 问题分析 -> 模型求解 -> 结果分析 -> 模型评价 -> 参考文献 -> 附录,VAR、遗传算法、ODE,已定位,连接词=首先:19、进一步:18、可知:3、表明:23、说明:2、验证:6、相比:1、为了:1、从而:3、因此:16；页行中位数=38；段落候选中位数=7；图表候选=25；公式行候选=259；标题候选=91,2024/C038.pdf#page=1:line=1,45,p.1,p.4,p.5,p.29,未检出（严格 OCR 阈值下不补字）,p.1,p.44,p.45,p.46
2024,C,C063,49,摘要 -> 灵敏度分析 -> 模型求解 -> 问题重述 -> 问题分析 -> 符号说明 -> 模型建立 -> 结果分析 -> 参考文献 -> 附录,0-1、线性规划、VAR、ODE,已定位,连接词=首先:9、其次:3、进一步:2、表明:2、说明:4、为了:2、从而:2、因此:1；页行中位数=38；段落候选中位数=7；图表候选=17；公式行候选=229；标题候选=335,2024/C063.pdf#page=1:line=1,44,p.1,p.3,p.1,p.17,未检出（严格 OCR 阈值下不补字）,p.1,未检出（严格 OCR 阈值下不补字）,p.34,p.41
2024,C,C094,58,摘要 -> 灵敏度分析 -> 结果分析 -> 问题重述 -> 问题分析 -> 模型求解 -> 模型假设 -> 符号说明 -> 模型建立 -> 参考文献 -> 模型评价 -> 附录,蒙特卡洛、线性规划、0-1、VAR、ODE,已定位,连接词=首先:1、进一步:4、可知:1、说明:2、从而:3、因此:16；页行中位数=60.0；段落候选中位数=7.0；图表候选=16；公式行候选=440；标题候选=101,2024/C094.pdf#page=1:line=1,50,p.1,p.3,p.3,p.1,未检出（严格 OCR 阈值下不补字）,p.1,p.22,p.17,p.23
2024,C,C234,45,摘要 -> 模型求解 -> 问题重述 -> 问题分析 -> 模型假设 -> 符号说明 -> 模型建立 -> 模型评价 -> 参考文献,遗传算法、线性规划、0-1,已定位,连接词=首先:2、其次:2、可知:1、表明:1、说明:4、验证:1、相比:1、为了:9、因此:7；页行中位数=37；段落候选中位数=6；图表候选=14；公式行候选=519；标题候选=66,2024/C234.pdf#page=1:line=1,37,p.1,p.2,p.1,未检出（严格 OCR 阈值下不补字）,未检出（严格 OCR 阈值下不补字）,未检出（严格 OCR 阈值下不补字）,p.23,p.25,未检出（严格 OCR 阈值下不补字）
2025,A,A196,34,摘要 -> 问题重述 -> 问题分析 -> 模型假设 -> 符号说明 -> 模型建立 -> 模型求解 -> 灵敏度分析 -> 结果分析 -> 模型评价 -> 参考文献 -> 附录,粒子群、多目标、ODE,已定位,连接词=首先:3、进一步:4、可知:1、表明:1、说明:8、验证:9、从而:1、因此:10；页行中位数=32.0；段落候选中位数=8.0；图表候选=15；公式行候选=164；标题候选=130,2025/A196.pdf#page=1:line=1,24,p.1,p.3,p.12,p.16,未检出（严格 OCR 阈值下不补字）,p.14,p.33,p.33,p.34
2025,B,B060,72,摘要 -> 模型求解 -> 问题重述 -> 问题分析 -> 模型假设 -> 结果分析 -> 模型建立 -> 模型检验 -> 模型评价 -> 参考文献 -> 附录,有限差分、VAR、ODE、RNN、0-1,已定位,连接词=首先:7、其次:1、进一步:4、由此:1、可知:1、表明:2、验证:7、相比:1、为了:3、从而:4、因此:5；页行中位数=35.5；段落候选中位数=5.0；图表候选=26；公式行候选=431；标题候选=120,2025/B060.pdf#page=1:line=1,51,p.1,p.2,p.1,p.3,p.8,未检出（严格 OCR 阈值下不补字）,p.29,p.31,p.32
2025,B,B157,67,摘要 -> 灵敏度分析 -> 问题重述 -> 问题分析 -> 模型建立 -> 模型假设 -> 符号说明 -> 模型求解 -> 模型评价 -> 参考文献 -> 附录,0-1、ODE、回归,已定位,连接词=首先:7、进一步:6、由此:1、表明:6、说明:1、验证:7、为了:1、从而:3、因此:5；页行中位数=36；段落候选中位数=0；图表候选=29；公式行候选=779；标题候选=121,2025/B157.pdf#page=1:line=1,60,p.1,p.2,p.6,未检出（严格 OCR 阈值下不补字）,未检出（严格 OCR 阈值下不补字）,p.1,p.27,p.28,p.39
2025,C,C023,28,摘要 -> 模型检验 -> 灵敏度分析 -> 问题重述 -> 符号说明 -> 问题分析 -> 模型建立 -> 模型求解 -> 结果分析 -> 模型评价 -> 参考文献 -> 附录,VAR、回归、0-1,已定位,连接词=首先:2、其次:1、进一步:2、表明:7、说明:2、验证:6、因此:1；页行中位数=26.5；段落候选中位数=6.0；图表候选=21；公式行候选=74；标题候选=121,2025/C023.pdf#page=1:line=1,17,p.1,p.4,p.8,p.12,p.1,p.1,p.22,p.22,p.24
2025,C,C132,65,摘要 -> 问题重述 -> 问题分析 -> 模型假设 -> 模型建立 -> 符号说明 -> 模型求解 -> 模型检验 -> 灵敏度分析 -> 结果分析 -> 模型评价 -> 参考文献 -> 附录,LSTM、LightGBM、回归、0-1、遗传算法、ODE,已定位,连接词=首先:12、其次:1、进一步:5、表明:13、验证:13、相比:2、为了:5、从而:2、因此:6；页行中位数=33；段落候选中位数=7；图表候选=23；公式行候选=437；标题候选=101,2025/C132.pdf#page=1:line=1,53,p.1,p.3,p.7,p.27,p.8,p.11,p.34,p.35,p.36
